Study	Species	Trait	fit.trait	Heritability	Evolvability	Mean	Ie	Type	Scale	Organism	Measure
Fox.(1993)	Callosobruchus.maculatus	Oviposition.preference	no	0.348	4.885	0.607	9.153	Behavior	Ratio	Insect	Narrowsense
Fox.et.al..(1999)	Stator.limbatus	egg.mass	no	0.908	0.69	0.02	0.07	LH	Weight	Insect	Narrowsense
Fox.et.al..(1999)	Stator.limbatus	egg.mass	no	0.664	0.479	0.026	0.243	LH	Weight	Insect	Narrowsense
Fox.et.al..(1999)	Stator.limbatus	egg.mass	no	0.437	0.55	0.02	0.709	LH	Weight	Insect	Narrowsense
Fox.et.al..(1999)	Stator.limbatus	egg.mass	no	0.217	0.195	0.026	0.705	LH	Weight	Insect	Narrowsense
Friberg.et.al..(2005)	Drosophila.melanogaster	P2.(fraction.offspring.sired)	yes	0.022	0.35	NA	15.58	LH	Transformed	Insect	Narrowsense
Friberg.et.al..(2005)	Drosophila.melanogaster	remating	yes	0.014	0.764	NA	53.799	LH	Transformed	Insect	Narrowsense
Friberg.et.al..(2005)	Drosophila.melanogaster	male.net.adulte.fitness	yes	0.016	1.719	NA	105.701	LH	Count	Insect	Narrowsense
Friberg.et.al..(2005)	Drosophila.melanogaster	Male.fitness/.remated.female.	yes	0.006	0.268	NA	44.452	LH	Count	Insect	Narrowsense
Friberg.et.al..(2005)	Drosophila.melanogaster	female.adult.net.fitness	yes	0.017	0.404	NA	23.389	LH	Count	Insect	Narrowsense
Friberg.et.al..(2005)	Drosophila.melanogaster	female.fitness./.remated.female	yes	0.023	1.16	NA	49.272	LH	Count	Insect	Narrowsense
Friberg.et.al..(2005)	Drosophila.melanogaster	female.fitness./.not.remated.female	yes	0.016	0.412	NA	25.348	LH	Count	Insect	Narrowsense
Friberg.et.al..(2005)	Drosophila.melanogaster	P1.(fraction.offspring.sired)	yes	0.019	1.724	NA	89.977	LH	Transformed	Insect	Narrowsense
Friberg.et.al..(2005)	Drosophila.melanogaster	fidelity	no	0.0005	0.085	NA	170.443	LH	Transformed	Insect	Narrowsense
Friberg.et.al..(2005)	Drosophila.melanogaster	male.net.adulte.fitness	yes	0.015	2.205	NA	144.81	LH	Count	Insect	Narrowsense
Friberg.et.al..(2005)	Drosophila.melanogaster	Male.fitness/.remated.female.	yes	0.011	2.12	NA	190.602	LH	Count	Insect	Narrowsense
Friberg.et.al..(2005)	Drosophila.melanogaster	Male.fitness/.not.remated.female.	yes	0.007	0.133	NA	18.899	LH	Count	Insect	Narrowsense
Friberg.et.al..(2005)	Drosophila.melanogaster	female.adult.net.fitness	yes	0.001	0.01	NA	9.99	LH	Count	Insect	Narrowsense
Friberg.et.al..(2005)	Drosophila.melanogaster	female.fitness./.not.remated.female	yes	0.007	0.133	NA	18.899	LH	Count	Insect	Narrowsense
Garant.et.al..(2004)	Ficedula.albicollis	forehead.patch.young	no	0.4	1.563	73.5	2.344	Pattern	Area	Bird	Narrowsense
Garant.et.al..(2004)	Ficedula.albicollis	wing.patch.young.	no	0.47	5.856	19.8	6.604	Pattern	Area	Bird	Narrowsense
Garant.et.al..(2004)	Ficedula.albicollis	forehead.patch.old	no	0.35	1.254	77.8	2.33	Pattern	Area	Bird	Narrowsense
Garant.et.al..(2004)	Ficedula.albicollis	wing.patch.old	no	0.64	2.016	50.2	1.134	Pattern	Area	Bird	Narrowsense
Garcia-Gonazales.&.Simmons.(2005)	Teleogryllus.oceanicus	Investment.in.accessory.glands	no	0.85	1.227664	NA	0.216646588	Size	Weight	Insect	Narrowsense
Gardner.&.Latta.(2008)	Avena.barbata	Germination.time	yes	0.151	0.168	5.27	0.944582781	LH	Time	Plant	Broadsense
Gardner.&.Latta.(2008)	Avena.barbata	Height.day.20	no	0.39	0.476	12.22	0.744512821	Size	Linear	Plant	Broadsense
Gardner.&.Latta.(2008)	Avena.barbata	Mass.day.60	no	0.086	1.932	0.39	20.53311628	Size	Weight	Plant	Broadsense
Gardner.&.Latta.(2008)	Avena.barbata	Final.height	no	0.579	1.232	137.6	0.895806563	Size	Linear	Plant	Broadsense
Gardner.&.Latta.(2008)	Avena.barbata	Days.to.flower	yes	0.585	0.449	135.81	0.318521368	LH	Time	Plant	Broadsense
Gardner.&.Latta.(2008)	Avena.barbata	Tiller.number	yes	0.546	11.29	11.83	9.387655678	Shape	Count	Plant	Broadsense
Gardner.&.Latta.(2008)	Avena.barbata	tiller.mass	no	0.567	5.712	7.79	4.362074074	Size	Weight	Plant	Broadsense
Gardner.&.Latta.(2008)	Avena.barbata	Leaf.mass	no	0.581	5.153	7.38	3.71619105	Size	Weight	Plant	Broadsense
Gardner.&.Latta.(2008)	Avena.barbata	Total.mass	no	0.332	0.884	15.17	1.778650602	Size	Weight	Plant	Broadsense
Gardner.&.Latta.(2008)	Avena.barbata	n.spikelets	yes	0.59	8.585	425.08	5.965847458	Shape	Count	Plant	Broadsense
Gardner.&.Latta.(2008)	Avena.barbata	Height	no	0.253	1.638	86.39	4.8363083	Size	Linear	Plant	Broadsense
Gardner.&.Latta.(2008)	Avena.barbata	Tiller.number	yes	0.203	3.686	1.796	14.47163547	Shape	Count	Plant	Broadsense
Gardner.&.Latta.(2008)	Avena.barbata	mass	no	0.129	9.242	0.889	62.40141085	Size	Weight	Plant	Broadsense
Gardner.&.Latta.(2008)	Avena.barbata	nspikelets	yes	0.158	10.049	16.443	53.55226582	Shape	Count	Plant	Broadsense
Gardner.&.Latta.(2008)	Avena.barbata	Height	no	0.046	1.988	61.57	41.2293913	Size	Linear	Plant	Broadsense
Gardner.&.Latta.(2008)	Avena.barbata	Tiller.number	yes	0.001	0.014	1.021	13.986	Shape	Count	Plant	Broadsense
Gardner.&.Latta.(2008)	Avena.barbata	mass	no	0.041	2.528	0.341	59.13053659	Size	Weight	Plant	Broadsense
Gardner.&.Latta.(2008)	Avena.barbata	nspikelets	yes	0.041	3.204	5.725	74.94234146	Size	Weight	Plant	Broadsense
Gardner.&.Latta.(2008)	Avena.barbata	Height	no	0.142	19.36	22.57	116.9780282	Size	Weight	Plant	Broadsense
Gardner.&.Latta.(2008)	Avena.barbata	Tiller.number	yes	0.037	4.244	0.501	110.4587027	Shape	Count	Plant	Broadsense
Gardner.&.Latta.(2008)	Avena.barbata	mass	no	0.071	26.832	0.15	351.083493	Size	Linear	Plant	Broadsense
Gardner.&.Latta.(2008)	Avena.barbata	nspikelets	yes	0.115	45.024	3.083	346.4890435	Shape	Count	Plant	Broadsense
Gomez.et.al..(2009)	Erysimum.mediohispanicum	stalk.diameter	no	0.18	1.682980278	1.85	7.666910153	Size	Linear	Plant	Narrowsense
Gomez.et.al..(2009)	Erysimum.mediohispanicum	Number.of.stalks	no	0.002	0.104252401	1.35	52.02194787	Size	Count	Plant	Narrowsense
Gomez.et.al..(2009)	Erysimum.mediohispanicum	stalk.height	no	0.19	3.332553155	36.97	14.20720029	Size	Linear	Plant	Narrowsense
Gomez.et.al..(2009)	Erysimum.mediohispanicum	corrolla.diameter	no	0.27	0.601051841	10.89	1.625066088	Size	Linear	Plant	Narrowsense
Gomez.et.al..(2009)	Erysimum.mediohispanicum	corrolla.tube.length.	no	0.392	0.687157542	10.52	1.065795371	Size	Linear	Plant	Narrowsense
Gomez.et.al..(2009)	Erysimum.mediohispanicum	corrolla.tube.width	no	0.094	33.02514793	0.52	318.306213	Size	Linear	Plant	Narrowsense
Gomez-Mestre.et.al.(2008)	Bufo.americanus	Hatching.age	yes	0	0	NA	NA	LH	Time	Herp	Narrowsense
Gomez-Mestre.et.al.(2008)	Bufo.americanus	Hatchling.size	no	0.398	1.2769	NA	1.931391457	LH	Proportion	Herp	Narrowsense
Gomez-Mestre.et.al.(2008)	Bufo.americanus	Hatching.age	yes	0.198	0.8281	NA	3.354223232	LH	Time	Herp	Narrowsense
Gomez-Mestre.et.al.(2008)	Bufo.americanus	Hatchling.size	no	0.554	4.7524	NA	3.82593935	LH	Proportion	Herp	Narrowsense
Groeters.&.Dingle.(1996)	Oncopeltus.fasciatus	wing.length	no	0.12	0.141	11.3	1.034	Size	Linear	Insect	Fullsib
Groeters.&.Dingle.(1996)	Oncopeltus.fasciatus	wing.length	no	0.13	0.15	10.2	1.003	Size	Linear	Insect	Fullsib
Groeters.&.Dingle.(1996)	Oncopeltus.fasciatus	wing.length	no	0.83	0.117	11.9	0.024	Size	Linear	Insect	Fullsib
Groeters.&.Dingle.(1996)	Oncopeltus.fasciatus	wing.length	no	0.82	0.138	10.9	0.03	Size	Linear	Insect	Fullsib
Han.&.Lincoln.(1994)	Diplacus.aurantiacus	resin.content.	no	0.06	0.0016	123	0.025	Physiological	Ratio	Plant	Narrowsense
Han.&.Lincoln.(1994)	Diplacus.aurantiacus	area.resin.content	no	0	0	0.5	NA	Physiological	Ratio	Plant	Narrowsense
Han.&.Lincoln.(1994)	Diplacus.aurantiacus	plant.height.	no	0.03	0.00069	36	0.022	Size	Linear	Plant	Narrowsense
Han.&.Lincoln.(1994)	Diplacus.aurantiacus	shoot.growth.rate	no	0.15	0.0047	2.92	0.027	Growth	Ratio	Plant	Narrowsense
Han.&.Lincoln.(1994)	Diplacus.aurantiacus	total.leaf.weight	no	0.16	0.0046	2.09	0.024	Size	Weight	Plant	Narrowsense
Han.&.Lincoln.(1994)	Diplacus.aurantiacus	stem.weight	no	0.21	0.012	0.93	0.043	Size	Weight	Plant	Narrowsense
Hansen.et.al..(2003)	Dalechampia.scandens	UBW	no	0.3	0.31	NA	0.723	Size	Linear	Plant	Narrowsense
Hansen.et.al..(2003)	Dalechampia.scandens	UBL	no	0.26	0.25	NA	0.712	Size	Linear	Plant	Narrowsense
Hansen.et.al..(2003)	Dalechampia.scandens	LBW	no	0.22	0.34	NA	1.205	Size	Linear	Plant	Narrowsense
Hansen.et.al..(2003)	Dalechampia.scandens	LBL	no	0.24	0.28	NA	0.887	Size	Linear	Plant	Narrowsense
Hansen.et.al..(2003)	Dalechampia.scandens	GAD	no	0.09	0.12	NA	1.213	Size	Linear	Plant	Narrowsense
Hansen.et.al..(2003)	Dalechampia.scandens	GSD	no	0.27	0.48	NA	1.298	Size	Linear	Plant	Narrowsense
Hansen.et.al..(2003)	Dalechampia.scandens	ASD	no	0.26	1.71	NA	4.867	Size	Linear	Plant	Narrowsense
Hansen.et.al..(2003)	Dalechampia.scandens	CMD	no	0.19	0.15	NA	0.639	Size	Linear	Plant	Narrowsense
Hansen.et.al..(2003)	Dalechampia.scandens	GW	no	0.08	0.11	NA	1.265	Size	Linear	Plant	Narrowsense
Hansen.et.al..(2003)	Dalechampia.scandens	GH	no	0.11	0.31	NA	2.508	Size	Linear	Plant	Narrowsense
Hansen.et.al..(2003)	Dalechampia.scandens	GD	no	0.45	0.35	NA	0.428	Size	Linear	Plant	Narrowsense
Hansen.et.al..(2003)	Dalechampia.scandens	GN	no	0.32	1.46	NA	3.103	Size	Linear	Plant	Narrowsense
Hansen.et.al..(2003)	Dalechampia.scandens	PDL	no	0.24	0.98	NA	3.103	Size	Linear	Plant	Narrowsense
Hansen.et.al..(2003)	Dalechampia.scandens	SL	no	0.28	0.49	NA	1.26	Size	Linear	Plant	Narrowsense
Hansen.et.al..(2003)	Dalechampia.scandens	SW	no	0.2	0.33	NA	1.32	Size	Linear	Plant	Narrowsense
Hansen.et.al..(2003)	Dalechampia.scandens	GA	no	0.1	0.72	NA	6.48	Size	Area	Plant	Narrowsense
Hansen.et.al..(2003)	Dalechampia.scandens	GR	no	0.18	0.18	NA	0.82	Shape	Ratio	Plant	Narrowsense
Hansen.et.al..(2003)	Dalechampia.scandens	UBR	no	0.22	0.1	NA	0.355	Shape	Ratio	Plant	Narrowsense
Hansen.et.al..(2003)	Dalechampia.scandens	LBR	no	0.13	0.06	NA	0.402	Shape	Ratio	Plant	Narrowsense
Hansen.et.al..(2003)	Dalechampia.scandens	UBS	no	0.08	0.02	NA	0.23	Shape	Ratio	Plant	Narrowsense
Hansen.et.al..(2003)	Dalechampia.scandens	LBS	no	0.18	0.02	NA	0.091	Shape	Ratio	Plant	Narrowsense
Hansen.et.al..(2003)	Dalechampia.scandens	GSDS	no	0.07	0.05	NA	0.664	Shape	Ratio	Plant	Narrowsense
Hansen.et.al..(2003)	Dalechampia.scandens	SLS	no	0.08	0.008	NA	0.092	Shape	Ratio	Plant	Narrowsense
Hansen.et.al..(2003)	Dalechampia.scandens	SWS	no	0.03	0.01	NA	0.323	Shape	Ratio	Plant	Narrowsense
Hansen.et.al..(2003)	Dalechampia.scandens	UBW	no	0.16	0.207	20.83	1.087	Size	Linear	Plant	Selfed
Hansen.et.al..(2003)	Dalechampia.scandens	UBL	no	0.1	0.114	17.74	1.026	Size	Linear	Plant	Selfed
Hansen.et.al..(2003)	Dalechampia.scandens	LBW	no	0.16	0.325	20.99	1.706	Size	Linear	Plant	Selfed
Hansen.et.al..(2003)	Dalechampia.scandens	LBL	no	0.14	0.203	18.84	1.247	Size	Linear	Plant	Selfed
Hansen.et.al..(2003)	Dalechampia.scandens	GAD	no	0	0	4.66	NA	Size	Linear	Plant	Selfed
Hansen.et.al..(2003)	Dalechampia.scandens	GSD	no	0.2	0.329	4.71	1.316	Size	Linear	Plant	Selfed
Hansen.et.al..(2003)	Dalechampia.scandens	ASD	no	0.21	1.792	3.86	6.741	Size	Linear	Plant	Selfed
Hansen.et.al..(2003)	Dalechampia.scandens	CMD	no	0	0	2.79	NA	Size	Linear	Plant	Selfed
Hansen.et.al..(2003)	Dalechampia.scandens	GW	no	0.1	0.118	6.69	1.062	Size	Linear	Plant	Selfed
Hansen.et.al..(2003)	Dalechampia.scandens	GH	no	0.15	0.463	2.94	2.624	Size	Linear	Plant	Selfed
Hansen.et.al..(2003)	Dalechampia.scandens	GD	no	0.4	0.374	2.97	0.561	Size	Linear	Plant	Selfed
Hansen.et.al..(2003)	Dalechampia.scandens	GN	no	0.16	0.905	21.57	4.751	Size	Linear	Plant	Selfed
Hansen.et.al..(2003)	Dalechampia.scandens	PDL	no	0.39	1.384	3.18	2.165	Size	Linear	Plant	Selfed
Hansen.et.al..(2003)	Dalechampia.scandens	SL	no	0.02	0.027	6.39	1.323	Size	Linear	Plant	Selfed
Hansen.et.al..(2003)	Dalechampia.scandens	SW	no	0.22	0.357	1.4	1.266	Size	Linear	Plant	Selfed
Hansen.et.al..(2003)	Dalechampia.scandens	GA	no	0.11	0.837	19.92	6.772	Size	Area	Plant	Selfed
Hansen.et.al..(2003)	Dalechampia.scandens	GR	no	0.27	0.326	43.9	0.881	Shape	Ratio	Plant	Selfed
Hansen.et.al..(2003)	Dalechampia.scandens	UBR	no	0.18	0.061	85.44	0.278	Shape	Ratio	Plant	Selfed
Hansen.et.al..(2003)	Dalechampia.scandens	LBR	no	0.18	0.076	89.75	0.346	Shape	Ratio	Plant	Selfed
Hansen.et.al..(2003)	Dalechampia.scandens	UBS	no	0.13	0.024	88.06	0.161	Shape	Ratio	Plant	Selfed
Hansen.et.al..(2003)	Dalechampia.scandens	LBS	no	0.13	0.025	84.49	0.167	Shape	Ratio	Plant	Selfed
Hansen.et.al..(2003)	Dalechampia.scandens	GSDS	no	0	0	82.03	NA	Shape	Ratio	Plant	Selfed
Hansen.et.al..(2003)	Dalechampia.scandens	SLS	no	0	0.00011	96.49	NA	Shape	Ratio	Plant	Selfed
Hansen.et.al..(2003)	Dalechampia.scandens	SWS	no	0	0	98.23	NA	Shape	Ratio	Plant	Selfed
Hawthorne.(1997)	Liriomyza.trifolii	development.time.	yes	0.124	0.000071	19.8	0.0005	LH	Time	Insect	Narrowsense
Hawthorne.(1997)	Liriomyza.trifolii	development.time.	yes	0.293	0.0011	19.43	0.0027	LH	Time	Insect	Narrowsense
Hawthorne.(1997)	Liriomyza.trifolii	development.time.	yes	0.188	0	19.8	0	LH	Time	Insect	Narrowsense
Hegyi.et.al.(2002)	Ficedula.albicollis	Forehead.patch.size	no	0.46	1.676	74.44	1.968	Pattern	Area	Bird	Narrowsense
Hendrickx.et.al..(2008)	Pirata.piraticus	Weight.3.weeks	no	0.2	2.135991456	2.12	8.543965824	Size	Volume	Arachnid	Narrowsense
Hendrickx.et.al..(2008)	Pirata.piraticus	Egg.size.without.cadmium	no	0.469	163.2653061	0.28	184.848353	Size	Volume	Arachnid	Narrowsense
Hendrickx.et.al..(2008)	Pirata.piraticus	Egg.sze.with.Cd	no	0.411	201.5306122	0.28	288.81151	Size	Volume	Arachnid	Narrowsense
Hendrickx.et.al..(2008)	Pirata.piraticus	Egg.size.without.cadmium	no	0.627	93.42560554	0.34	55.57855002	Size	Volume	Arachnid	Narrowsense
Hendrickx.et.al..(2008)	Pirata.piraticus	Egg.sze.with.Cd	no	0.586	140.1384083	0.34	99.00563317	Size	Volume	Arachnid	Narrowsense
Hoffman.et.al..(2006)	Syngnathus.scovelli	trunk.rings	no	0.75	0.105	15.4	0.035	Pattern	Count	Fish	Narrowsense
Hoffman.et.al..(2006)	Syngnathus.scovelli	tail.rings	no	0.45	0.022	31.2	0.026	Pattern	Count	Fish	Narrowsense
Hoffmann.&.Schiffer.(1998)	Drosophila.melanogaster	Crossvein	no	0.672	0.107	0.2	0.052	Size	Linear	Insect	Narrowsense
Hoffmann.&.Schiffer.(1998)	Drosophila.melanogaster	wing.width	no	0.634	0.042	1.085	0.024	Size	Linear	Insect	Narrowsense
Hoffmann.&.Schiffer.(1998)	Drosophila.melanogaster	wing.length	no	0.65	0.027	1.617	0.015	Size	Linear	Insect	Narrowsense
Hoffmann.&.Schiffer.(1998)	Drosophila.melanogaster	sternopleural.bristles	no	0.615	0.612	9.395	0.383	Size	Count	Insect	Narrowsense
Hoffmann.&.Schiffer.(1998)	Drosophila.melanogaster	orbital.bristles.	no	1.266	0.724	8.636	-0.152	Size	Count	Insect	Narrowsense
Hoffmann.&.Schiffer.(1998)	Drosophila.melanogaster	Crossvein	no	0.594	0.128	0.172	0.088	Size	Linear	Insect	Narrowsense
Hoffmann.&.Schiffer.(1998)	Drosophila.melanogaster	wing.width	no	0.791	0.057	0.971	0.015	Size	Linear	Insect	Narrowsense
Hoffmann.&.Schiffer.(1998)	Drosophila.melanogaster	wing.length	no	0.652	0.031	1.413	0.017	Size	Linear	Insect	Narrowsense
Hoffmann.&.Schiffer.(1998)	Drosophila.melanogaster	sternopleural.bristles	no	0.702	0.752	8.986	0.319	Size	Count	Insect	Narrowsense
Hoffmann.&.Schiffer.(1998)	Drosophila.melanogaster	orbital.bristles.	no	0.506	0.29	8.18	0.283	Size	Count	Insect	Narrowsense
Hoffmann.&.Schiffer.(1998)	Drosophila.melanogaster	Crossvein	no	0	0	0.185	NA	Size	Linear	Insect	Narrowsense
Hoffmann.&.Schiffer.(1998)	Drosophila.melanogaster	wing.width	no	0.075	0.017	1.042	0.213	Size	Linear	Insect	Narrowsense
Hoffmann.&.Schiffer.(1998)	Drosophila.melanogaster	wing.length	no	0.148	0.016	1.59	0.091	Size	Linear	Insect	Narrowsense
Hoffmann.&.Schiffer.(1998)	Drosophila.melanogaster	sternopleural.bristles	no	0.569	0.579	9.357	0.439	Size	Count	Insect	Narrowsense
Hoffmann.&.Schiffer.(1998)	Drosophila.melanogaster	orbital.bristles.	no	0.791	0.65	8.86	0.172	Size	Count	Insect	Narrowsense
Hoffmann.&.Schiffer.(1998)	Drosophila.melanogaster	Crossvein	no	0.074	0.035	0.161	0.429	Size	Linear	Insect	Narrowsense
Hoffmann.&.Schiffer.(1998)	Drosophila.melanogaster	wing.width	no	0.633	0.077	0.948	0.045	Size	Linear	Insect	Narrowsense
Hoffmann.&.Schiffer.(1998)	Drosophila.melanogaster	wing.length	no	0.237	0.065	1.408	0.21	Size	Linear	Insect	Narrowsense
Hoffmann.&.Schiffer.(1998)	Drosophila.melanogaster	sternopleural.bristles	no	0.517	0.65	9.05	0.606	Size	Count	Insect	Narrowsense
Hoffmann.&.Schiffer.(1998)	Drosophila.melanogaster	orbital.bristles.	no	0.403	0.382	8.365	0.565	Size	Count	Insect	Narrowsense
Horne.&.Yl?nen.(1998)	Clethrionomys.glareolus	weight	no	0.628	1.276	23.696	0.756	Size	Weight	Mammal	Narrowsense
Horne.&.Yl?nen.(1998)	Clethrionomys.glareolus	head.width	no	0.669	0.091	14.192	0.045	Size	Linear	Mammal	Narrowsense
Horne.&.Yl?nen.(1998)	Clethrionomys.glareolus	preputial.glands	no	0.767	13.317	8.885	4.046	Size	Linear	Mammal	Narrowsense
Horne.&.Yl?nen.(1998)	Clethrionomys.glareolus	Urine.marking	no	0.531	6.487	3.684	5.729	Behavior	Count	Mammal	Narrowsense
House.&.Simmons.(2005)	Onthophagus.taurus	Sclerite.1ab	no	0	0	0.37	NA	Size	Linear	Insect	Narrowsense
House.&.Simmons.(2005)	Onthophagus.taurus	Sclerite.1.Outline	no	0.17	0.009801	0.97	0.047851941	Size	Linear	Insect	Narrowsense
House.&.Simmons.(2005)	Onthophagus.taurus	Sclerite.2ab	no	0	0	0.35	NA	Size	Linear	Insect	Narrowsense
House.&.Simmons.(2005)	Onthophagus.taurus	Sclerite2bc	no	0.33	0.012321	0.41	0.025015364	Size	Linear	Insect	Narrowsense
House.&.Simmons.(2005)	Onthophagus.taurus	Sclerite.2.area	no	0.28	0.016129	0.03	0.041474571	Size	Area	Insect	Narrowsense
House.&.Simmons.(2005)	Onthophagus.taurus	Sclerite.2.outline	no	0.22	0.007569	1.04	0.026835545	Size	Linear	Insect	Narrowsense
House.&.Simmons.(2005)	Onthophagus.taurus	Sclerite.3ab	no	0	0	0.32	NA	Size	Linear	Insect	Narrowsense
House.&.Simmons.(2005)	Onthophagus.taurus	Sclerite.3bc	no	0.28	0.021316	0.29	0.054812571	Size	Linear	Insect	Narrowsense
House.&.Simmons.(2005)	Onthophagus.taurus	Sclerite.3.area	no	0	0	0.01	NA	Size	Area	Insect	Narrowsense
House.&.Simmons.(2005)	Onthophagus.taurus	Sclerite.3.outline	no	0.07	0.006561	0.82	0.087167571	Size	Linear	Insect	Narrowsense
House.&.Simmons.(2005)	Onthophagus.taurus	Sclerite.4ab	no	0.13	0.018496	0.23	0.123780923	Size	Linear	Insect	Narrowsense
House.&.Simmons.(2005)	Onthophagus.taurus	Sclerite.4bd	no	0	0	0.2	NA	Size	Linear	Insect	Narrowsense
House.&.Simmons.(2005)	Onthophagus.taurus	Sclerite.4.area	no	0.2	0.015625	0.02	0.0625	Size	Area	Insect	Narrowsense
House.&.Simmons.(2005)	Onthophagus.taurus	Sclerite.4.outline	no	0.1	0.006561	0.66	0.059049	Size	Linear	Insect	Narrowsense
House.&.Simmons.(2005)	Onthophagus.taurus	Sclerite.5.ab	no	0	0	0.28	NA	Size	Linear	Insect	Narrowsense
House.&.Simmons.(2005)	Onthophagus.taurus	Sclerite.5.bc	no	0.02	0.006724	0.18	0.329476	Size	Linear	Insect	Narrowsense
House.&.Simmons.(2005)	Onthophagus.taurus	Sclerite.5.area	no	0.03	0.002916	0.02	0.094284	Size	Area	Insect	Narrowsense
House.&.Simmons.(2005)	Onthophagus.taurus	Sclerite.5.outline	no	0	0	1.01	NA	Size	Linear	Insect	Narrowsense
House.&.Simmons.(2005)	Onthophagus.taurus	Body.length	no	0	0	9.37	NA	Size	Linear	Insect	Narrowsense
House.&.Simmons.(2005)	Onthophagus.taurus	Head.length	no	0	0	2.31	NA	Size	Linear	Insect	Narrowsense
House.&.Simmons.(2005)	Onthophagus.taurus	Head.width	no	0.08	0.007744	2.86	0.089056	Size	Linear	Insect	Narrowsense
House.&.Simmons.(2005)	Onthophagus.taurus	Pronotum.width	no	0	0	4.57	NA	Size	Linear	Insect	Narrowsense
House.&.Simmons.(2005)	Onthophagus.taurus	Elytra.length	no	0.02	0.001764	5.01	0.086436	Size	Linear	Insect	Narrowsense
House.et.al..(2008)	Nicrophorus.vespilloides	male.mating.frequency	yes	0.27	5.169	3.68	13.975	Behavior	Count	Insect	Narrowsense
House.et.al..(2008)	Nicrophorus.vespilloides	male.mating.duration	yes	0.24	0.924	92.9	2.927	Behavior	Time	Insect	Narrowsense
House.et.al..(2008)	Nicrophorus.vespilloides	male.mating.speed	yes	0.4	55.252	180.58	82.877	Behavior	Time	Insect	Narrowsense
House.et.al..(2008)	Nicrophorus.vespilloides	female.mating.frequency	yes	0.12	1.952	3.65	14.312	Behavior	Count	Insect	Narrowsense
House.et.al..(2008)	Nicrophorus.vespilloides	female.mating.duration	yes	-0.02	-0.805	89.15	NA	Behavior	Time	Insect	Narrowsense
House.et.al..(2008)	Nicrophorus.vespilloides	female.mating.speed	yes	0.16	28.854	190.06	151.482	Behavior	Count	Insect	Narrowsense
Ivy.(2007)	Gryllodes.sigillatus	Development.time.(inverse.squared)	yes	0.03	0.007396	NA	0.239137333	LH	Transformed	Insect	Narrowsense
Ivy.(2007)	Gryllodes.sigillatus	Proportion.hatching	yes	0.05	0.016129	NA	0.306451	LH	Transformed	Insect	Narrowsense
Jensen.et.al..(2003)	Passer.domesticus	Tarsus.length	no	0.312	0.053	19.62	0.117	Size	Linear	Bird	Narrowsense
Jensen.et.al..(2003)	Passer.domesticus	Wing.length	no	0.327	0.014	80.8	0.029	Size	Linear	Bird	Narrowsense
Jensen.et.al..(2003)	Passer.domesticus	Bill.depth	no	0.256	0.025	8.21	0.073	Size	Linear	Bird	Narrowsense
Jensen.et.al..(2003)	Passer.domesticus	Bill.length	no	0.586	0.066	13.69	0.047	Size	Linear	Bird	Narrowsense
Jensen.et.al..(2003)	Passer.domesticus	Body.mass	no	0.293	0.09	31.9	0.217	Size	Weight	Bird	Narrowsense
Jensen.et.al..(2003)	Passer.domesticus	Conditional.Tarsus.length	no	0.0006	0	19.62	0	Size	Linear	Bird	Narrowsense
Jensen.et.al..(2003)	Passer.domesticus	Conditional.Wing.length	no	0.057	0.0026	80.8	0.043	Size	Linear	Bird	Narrowsense
Jensen.et.al..(2003)	Passer.domesticus	Conditional.Bill.depth	no	0.086	0.0089	8.21	0.095	Size	Linear	Bird	Narrowsense
Jensen.et.al..(2003)	Passer.domesticus	Conditional.Bill.length	no	0.02	0.0021	13.69	0.107	Size	Linear	Bird	Narrowsense
Jensen.et.al..(2003)	Passer.domesticus	Conditional.Body.mass	no	0	0	31.9	NA	Size	Weight	Bird	Narrowsense
Jensen.et.al..(2003)	Passer.domesticus	Tarsus.length	no	0.681	0.091	19.55	0.043	Size	Linear	Bird	Narrowsense
Jensen.et.al..(2003)	Passer.domesticus	Wing.length	no	0.633	0.027	78.12	0.016	Size	Linear	Bird	Narrowsense
Jensen.et.al..(2003)	Passer.domesticus	Bill.depth	no	0.542	0.073	8.13	0.061	Size	Linear	Bird	Narrowsense
Jensen.et.al..(2003)	Passer.domesticus	Bill.length	no	0.539	0.065	13.75	0.056	Size	Linear	Bird	Narrowsense
Jensen.et.al..(2003)	Passer.domesticus	Body.mass	no	0.124	0.062	32.85	0.439	Size	Weight	Bird	Narrowsense
Jensen.et.al..(2003)	Passer.domesticus	Conditional.Tarsus.length	no	0.0011	0.00026	19.55	0.238	Size	Linear	Bird	Narrowsense
Jensen.et.al..(2003)	Passer.domesticus	Conditional.Wing.length	no	0.138	0.006	78.12	0.037	Size	Linear	Bird	Narrowsense
Jensen.et.al..(2003)	Passer.domesticus	Conditional.Bill.depth	no	0.186	0.024	8.13	0.106	Size	Linear	Bird	Narrowsense
Jensen.et.al..(2003)	Passer.domesticus	Conditional.Bill.length	no	0.013	0.0016	13.75	0.12	Size	Linear	Bird	Narrowsense
Jensen.et.al..(2003)	Passer.domesticus	Conditional.Body.mass	no	0	0	32.85	NA	Size	Weight	Bird	Narrowsense
Jensen.et.al..(2008)	Passer.domesticus	total.badge.size	no	0.09	0.026	20.021	0.267	Size	Linear	Bird	Narrowsense
